rarity,unique_name,base_type,class
Unique,海昂的狂怒,军团长剑,Unique Item
Unique,秘法君临,军团长剑,Unique Item
Unique,救世者,军团长剑,Unique Item
Unique,思想奔流,军团长剑,Unique Item
Unique,瓦尔战刃,瓦尔军刃,Unique Item
Unique,黑鲨,瓦尔军刃,Unique Item
Unique,幻梦飞羽,永恒之剑,Unique Item
Unique,芯木腰刀,永恒之剑,Unique Item
Unique,韧木曲刃,永恒之剑,Unique Item
Unique,幻梦飞羽【仿品】,永恒之剑,Unique Item
Unique,瑞佛统帅,夜语长剑,Unique Item
Unique,七日锋,夜语长剑,Unique Item
Unique,汉恩的力量,夜语长剑,Unique Item
Unique,女神的灵缚,鲸骨细刃,Unique Item
Unique,灵护,练武者细剑,Unique Item
Unique,费德利塔斯之锋,锯状薄刃,Unique Item
Unique,伊沃幻像,古代细剑,Unique Item
Unique,德瑞索的热情,穿甲刺剑,Unique Item
Unique,悖论,瓦尔细剑,Unique Item
Unique,悖论【仿品】,瓦尔细剑,Unique Item
Unique,卡斯普里怨恨,宝饰细剑,Unique Item
Unique,血裂,钝钉木棒,Unique Item
Unique,光耀之锤,战锤,Unique Item
Unique,拉维安加的智慧,战锤,Unique Item
Unique,血肉之嗜,梦境之锤,Unique Item
Unique,修道院钟声,梦境之锤,Unique Item
Unique,塑泥者,破岩锤,Unique Item
Unique,霜息,华丽之锤,Unique Item
Unique,霜息【仿品】,华丽之锤,Unique Item
Unique,沉默之雷,坚锤,Unique Item
Unique,卡美利亚之锤,坚锤,Unique Item
Unique,卡美利亚之贪婪,坚锤,Unique Item
Unique,坚定之刃,圣约之锤,Unique Item
Unique,尼布洛克,梦魇之锤,Unique Item
Unique,历史公理,铜锻短杖,Unique Item
Unique,布鲁特斯的刑具,祭仪短杖,Unique Item
Unique,黯黑贤者,影语短杖,Unique Item
Unique,苦梦,影语短杖,Unique Item
Unique,苦梦【仿品】,影语短杖,Unique Item
Unique,叶兰德尔的拥抱,远古之祭,Unique Item
Unique,叶兰德尔的拥抱【仿品】,远古之祭,Unique Item
Unique,奈可妲之灯,水晶短杖,Unique Item
Unique,无上箴言,水晶短杖,Unique Item
Unique,冥犬残肢,血色短杖,Unique Item
Unique,漆黑藤杖,皇家短杖,Unique Item
Unique,死神之手,卡鲁短杖,Unique Item
Unique,玛塔之指教,卡鲁短杖,Unique Item
Unique,罪恶吞噬者的叹息,暴君之统,Unique Item
Unique,苍白烈火,灵石短杖,Unique Item
Unique,奇异,白金短杖,Unique Item
Unique,卡迪甘的权威,白金短杖,Unique Item
Unique,黑钢,瓦尔短杖,Unique Item
Unique,多里亚尼的幻化之杖,瓦尔短杖,Unique Item
Unique,夭马克的协定,瓦尔短杖,Unique Item
Unique,议会之息,禁礼短杖,Unique Item
Unique,凋灵魔爪,虚影短杖,Unique Item
Unique,占星,虚影短杖,Unique Item
Unique,内布利斯,虚影短杖,Unique Item
Unique,内布利斯【仿品】,虚影短杖,Unique Item
Unique,幻银之弦,粗制弓,Unique Item
Unique,遗孀之雹,粗制弓,Unique Item
Unique,骤雨之弦,短弓,Unique Item
Unique,骤雨之弦【仿品】,短弓,Unique Item
Unique,暴雨之弦,长弓,Unique Item
Unique,萝丝之触,反曲弓,Unique Item
Unique,灭世,皇家猎弓,Unique Item
Unique,冥使之琴,死亡之弓,Unique Item
Unique,钢铁指挥,死亡之弓,Unique Item
Unique,钢铁指挥【仿品】,死亡之弓,Unique Item
Unique,穿云,猎魂之弓,Unique Item
Unique,穿云【仿品】,猎魂之弓,Unique Item
Unique,赤红风暴,钢木之弓,Unique Item
Unique,索伏的爱抚,城塞战弓,Unique Item
Unique,索伏的始源,城塞战弓,Unique Item
Unique,贪婪之潮,城塞战弓,Unique Item
Unique,虚无之倾,游侠弓,Unique Item
Unique,破灭之希,游侠弓,Unique Item
Unique,乱矢之弦,暗影弓,Unique Item
Unique,夜吟,暗影弓,Unique Item
Unique,阿伯瑞斯,暗影弓,Unique Item
Unique,魔暴之痕,脊弓,Unique Item
Unique,议会之触,脊弓,Unique Item
Unique,狮眼的战弓,帝国之弓,Unique Item
Unique,裂风,帝国之弓,Unique Item
Unique,裂风【仿品】,帝国之弓,Unique Item
Unique,飞龙之翼,帝国之弓,Unique Item
Unique,努罗的竖琴,先驱者之弓,Unique Item
Unique,白银之舌,先驱者之弓,Unique Item
Unique,绿藤,朽木之干,Unique Item
Unique,血棘,朽木之干,Unique Item
Unique,血棘【仿品】,朽木之干,Unique Item
Unique,绿藤【仿品】,朽木之干,Unique Item
Unique,幽魂之息,铁锻长杖,Unique Item
Unique,囚神杵,铁锻长杖,Unique Item
Unique,创域,铁锻长杖,Unique Item
Unique,舍吉的手柄,强化长杖,Unique Item
Unique,风暴之眼,皇家长杖,Unique Item
Unique,冰点低语,毒牙长杖,Unique Item
Unique,摧残之光,细柄长杖,Unique Item
Unique,颤抖之杖,军用长杖,Unique Item
Unique,破碎传承者,蛇纹长杖,Unique Item
Unique,库勒马克藤杖,蛇纹长杖,Unique Item
Unique,纯净之神的祭品,贵族长杖,Unique Item
Unique,猎巫人的审判,贵族长杖,Unique Item
Unique,命运之风,恶灵长杖,Unique Item
Unique,圣徒胫骨,史典长杖,Unique Item
Unique,暗影的重负,史典长杖,Unique Item
Unique,炽炎之使,武术长杖,Unique Item
Unique,阐释之杖,艾兹麦长杖,Unique Item
Unique,扭魂者,艾兹麦长杖,Unique Item
Unique,支点,艾兹麦长杖,Unique Item
Unique,塔林的颤栗之语,风暴长杖,Unique Item
Unique,宵晓,风暴长杖,Unique Item
Unique,裂世轮回,风暴长杖,Unique Item
Unique,宵晓【仿品】,风暴长杖,Unique Item
Unique,东方雷霆圣杖,帝国长杖,Unique Item
Unique,北方雷霆圣杖,帝国长杖,Unique Item
Unique,南方雷霆圣杖,帝国长杖,Unique Item
Unique,西方雷霆圣杖,帝国长杖,Unique Item
Unique,圣恶之喻,帝国长杖,Unique Item
Unique,死亡屈服,帝国长杖,Unique Item
Unique,佳华尼的潜能,帝国长杖,Unique Item
Unique,誓约,审判长杖,Unique Item
Unique,霸权时代,审判长杖,Unique Item
Unique,灰色尖椎,审判长杖,Unique Item
Unique,阿兹里的统治,审判长杖,Unique Item
Unique,玫瑰遗产,审判长杖,Unique Item
Unique,断罪,柴斧,Unique Item
Unique,阔斩,巨战斧,Unique Item
Unique,死神的取魂器,幽影巨斧,Unique Item
Unique,收割者,灵玉巨斧,Unique Item
Unique,收割者【仿品】,灵玉巨斧,Unique Item
Unique,竭血之镰,行刑巨斧,Unique Item
Unique,努葛玛呼之耀,深渊巨斧,Unique Item
Unique,唤星,深渊巨斧,Unique Item
Unique,冈姆的霸业,卡鲁巨斧,Unique Item
Unique,乱世之翼,艾兹麦巨斧,Unique Item
Unique,勇气之魄,艾兹麦巨斧,Unique Item
Unique,乱世之翼【仿品】,艾兹麦巨斧,Unique Item
Unique,阿兹里的刑刃,瓦尔巨斧,Unique Item
Unique,嗜血黑兹玛娜,瓦尔巨斧,Unique Item
Unique,乌尔尼多之吻,瓦尔巨斧,Unique Item
Unique,乌尔尼多的拥抱,瓦尔巨斧,Unique Item
Unique,王者之刃,霸主巨斧,Unique Item
Unique,战歌,霸主巨斧,Unique Item
Unique,奇塔弗之盛宴,虚影巨斧,Unique Item
Unique,寒光剑,重剑,Unique Item
Unique,疯狂边界,术雕巨剑,Unique Item
Unique,威严之刃,名贵巨剑,Unique Item
Unique,瑞佛的奋战长剑,高山重刃,Unique Item
Unique,拉其塔之舞,符文巨剑,Unique Item
Unique,行刑之刃,虎牙巨剑,Unique Item
Unique,禅意苦行僧,残暴巨剑,Unique Item
Unique,无击,残暴巨剑,Unique Item
Unique,刚多的虚荣,艾兹麦巨剑,Unique Item
Unique,活木之刃,艾兹麦巨剑,Unique Item
Unique,终末之始,狮爪巨剑,Unique Item
Unique,欧罗的贡品,狱炎重剑,Unique Item
Unique,塑星者,狱炎重剑,Unique Item
Unique,裂空者,狱炎重剑,Unique Item
Unique,欧罗的贡品【仿品】,狱炎重剑,Unique Item
Unique,回声锻炉,狱炎重剑,Unique Item
Unique,雷姆诺的夺命凶器,冷铁重锤,Unique Item
Unique,重击之锤,狼牙重锤,Unique Item
Unique,吉尔菲的净罪之锤,铜影巨锤,Unique Item
Unique,忠诚之锤,刚猛巨锤,Unique Item
Unique,裂颅,刚猛巨锤,Unique Item
Unique,裂颅【仿品】,刚猛巨锤,Unique Item
Unique,乔赫黑钢,沉钢重锤,Unique Item
Unique,逝空之锤,威权巨锤,Unique Item
Unique,尔奇的巨灵之锤,卡鲁重锤,Unique Item
Unique,塔赫亚的砍伐,扫荡者,Unique Item
Unique,脑乱者,戮魂重锤,Unique Item
Unique,局势逆转者,帝国重锤,Unique Item
Unique,康戈的战炎,惧灵重锤,Unique Item
Unique,康戈的战炎【仿品】,惧灵重锤,Unique Item
Unique,海妖魅曲,鱼竿,Unique Item
Unique,灾祸之礁,鱼竿,Unique Item
Unique,狼蛛,生皮塔盾,Unique Item
Unique,巫木,松木塔盾,Unique Item
Unique,提图库斯的坚盾,强化塔盾,Unique Item
Unique,红刃旗帜,彩绘塔盾,Unique Item
Unique,斯瓦林,征战塔盾,Unique Item
Unique,五芒屏障,乌木塔盾,Unique Item
Unique,图克哈玛堡垒,乌木塔盾,Unique Item
Unique,图克哈玛堡垒【仿品】,乌木塔盾,Unique Item
Unique,降伏,艾兹麦塔盾,Unique Item
Unique,悬念,艾兹麦塔盾,Unique Item
Unique,懦夫哀嚎,艾兹麦塔盾,Unique Item
Unique,汉恩的遗产,巨型塔盾,Unique Item
Unique,破晓者,巨型塔盾,Unique Item
Unique,狮眼的荣耀之盾,坚毅塔盾,Unique Item
Unique,坚毅之食,坚毅塔盾,Unique Item
Unique,普兰德斯之徽,松木轻盾,Unique Item
Unique,冰霜之镜,彩绘轻盾,Unique Item
Unique,恐惧之缶,战争轻盾,Unique Item
Unique,哑风尖旗,釉彩轻盾,Unique Item
Unique,邪神庇护,波纹轻盾,Unique Item
Unique,阿兹里的反击,金阳轻盾,Unique Item
Unique,基洛瓦之风暴,钢木轻盾,Unique Item
Unique,迷雾之墙,漆彩轻盾,Unique Item
Unique,迷雾之墙【仿品】,漆彩轻盾,Unique Item
Unique,阿扎迪纹章,漆彩轻盾,Unique Item
Unique,千齿,瓦尔轻盾,Unique Item
Unique,远祖之颅,环形魔盾,Unique Item
Unique,布琳洛特之旗,环形魔盾,Unique Item
Unique,月影之耀,灵相魔盾,Unique Item
Unique,山特立的回应,铜锻魔盾,Unique Item
Unique,孔明的神算,远古魔盾,Unique Item
Unique,永恒苹果,魂相魔盾,Unique Item
Unique,正义之鳞,魂相魔盾,Unique Item
Unique,魔力风暴,软橡魔盾,Unique Item
Unique,艾许之镜,瓦尔魔盾,Unique Item
Unique,艾许之面,瓦尔魔盾,Unique Item
Unique,艾普之梦,瓦尔魔盾,Unique Item
Unique,艾普的霸权,瓦尔魔盾,Unique Item
Unique,轮回,和谐魔盾,Unique Item
Unique,献祭之心,巨人魔盾,Unique Item
Unique,苦痛之处,巨人魔盾,Unique Item
Unique,暴雨之舵,朽木圆盾,Unique Item
Unique,深渊绝壁,铆钉圆盾,Unique Item
Unique,破落的庇护,枫木圆盾,Unique Item
Unique,破裂碎片,绯红圆盾,Unique Item
Unique,德瑞索的勇者之盾,古代圆盾,Unique Item
Unique,惊悸剧院,柚木圆盾,Unique Item
Unique,影月,祭者圆盾,Unique Item
Unique,侍从,权贵圆盾,Unique Item
Unique,压迫者,权贵圆盾,Unique Item
Unique,新生之徽,朽木鸢盾,Unique Item
Unique,皇帝的警戒,冷钢鸢盾,Unique Item
Unique,马赫索托之诈,冷钢鸢盾,Unique Item
Unique,维多里奥的贡献,合板鸢盾,Unique Item
Unique,维多里奥的贡献【仿品】,合板鸢盾,Unique Item
Unique,萨费尔的智慧,圣记鸢盾,Unique Item
Unique,幻芒圣盾,斗士鸢盾,Unique Item
Unique,烈炎之翼,厚装鸢盾,Unique Item
Unique,元素的庇护,威能鸢盾,Unique Item
Unique,破碎信念,威能鸢盾,Unique Item
Unique,不屈之志,威能鸢盾,Unique Item
Unique,耀日,威能鸢盾,Unique Item
Unique,不屈烈焰,威能鸢盾,Unique Item
Unique,不朽意志,威能鸢盾,Unique Item
Unique,马雷格罗的染血透镜,复合刺盾,Unique Item
Unique,泽尔的放大器,光辉刺盾,Unique Item
Unique,科塔拉的调节器,王权刺盾,Unique Item
Unique,峰回路转,艾兹麦刺盾,Unique Item
Unique,临死的施舍,钢镜刺盾,Unique Item
Unique,雷鸣洗礼,钢镜刺盾,Unique Item
Unique,苦痛狂鲨,霸者刺盾,Unique Item
Unique,艾兹麦的荣光,粗铁盔,Unique Item
Unique,惊险刺激,轻骑盔,Unique Item
Unique,男爵,护面盔,Unique Item
Unique,血债,掠夺者之盔,Unique Item
Unique,冈姆的命令,破城之盔,Unique Item
Unique,雷姆诺的豪情,萨姆尼盔,Unique Item
Unique,深渊之唤,艾兹麦坚盔,Unique Item
Unique,嗜火之冠,艾兹麦坚盔,Unique Item
Unique,深渊之唤【仿品】,艾兹麦坚盔,Unique Item
Unique,惊啸裂痕,艾兹麦坚盔,Unique Item
Unique,无形火炬,皇室坚盔,Unique Item
Unique,无形炼狱,皇室坚盔,Unique Item
Unique,创造回声,皇室坚盔,Unique Item
Unique,篡夺者的救赎,永恒坚盔,Unique Item
Unique,金缕帽,皮帽,Unique Item
Unique,费尔之帽,三角帽,Unique Item
Unique,寒焰,革兜,Unique Item
Unique,寒焰【仿品】,革兜,Unique Item
Unique,艾尔弗雷,狼首皮盔,Unique Item
Unique,鼠巢,熊首皮盔,Unique Item
Unique,斯塔空加之首,绸缎之兜,Unique Item
Unique,苍空之翎,绸缎之兜,Unique Item
Unique,嗜寒之冠,绸缎之兜,Unique Item
Unique,极地之眼,罪者之帽,Unique Item
Unique,千里狙敌,罪者之帽,Unique Item
Unique,极地之眼【仿品】,罪者之帽,Unique Item
Unique,厌食者,狮首皮盔,Unique Item
Unique,刺棘之冠,藤蔓之冠,Unique Item
Unique,安赛娜丝的迅敏之冠,铁锻之冠,Unique Item
Unique,费西亚的花环,铁锻之冠,Unique Item
Unique,红契符印,祭仪之冠,Unique Item
Unique,追逐之羽,灵骨之冠,Unique Item
Unique,幽冥灵王,灵骨之冠,Unique Item
Unique,德瑞的蔑视,月影之冠,Unique Item
Unique,征服之口,冷钢之冠,Unique Item
Unique,曙光骤现,冷钢之冠,Unique Item
Unique,切特斯的威权,操灵者之冠,Unique Item
Unique,暗夜毒牙,操灵者之冠,Unique Item
Unique,吞噬者王冠,操灵者之冠,Unique Item
Unique,禁域面容,操灵者之冠,Unique Item
Unique,卓识,日耀之冠,Unique Item
Unique,灰眼,日耀之冠,Unique Item
Unique,雷目,日耀之冠,Unique Item
Unique,嗜雷之冠,日耀之冠,Unique Item
Unique,威尔玛的报偿,日耀之冠,Unique Item
Unique,酷寒的凝视,灵能之笼,Unique Item
Unique,禁语,灵能之笼,Unique Item
Unique,强健否决者,灵能之笼,Unique Item
Unique,邪眼之冠,灵主之环,Unique Item
Unique,伊芙班的诡计,灵主之环,Unique Item
Unique,希伯的霸权,灵主之环,Unique Item
Unique,靛蓝之冠,灵主之环,Unique Item
Unique,黑暗君主,巫妖之冠,Unique Item
Unique,敲诈笑颜,清视护盔,Unique Item
Unique,丧钟,金面护盔,Unique Item
Unique,光辉之颅,精兵之盔,Unique Item
Unique,黑阳之冠,漆彩之盔,Unique Item
Unique,雏鸟,漆彩之盔,Unique Item
Unique,渴望之冠,全罩战盔,Unique Item
Unique,噬心饕餮,猪面头盔,Unique Item
Unique,祭礼之雨,梦魇战盔,Unique Item
Unique,德沃托的信念之盔,梦魇战盔,Unique Item
Unique,私欲的光辉,士兵之盔,Unique Item
Unique,夜幕,巨盔,Unique Item
Unique,夜幕【仿品】,巨盔,Unique Item
Unique,灵漩,战意之盔,Unique Item
Unique,奇塔弗之渴望,热战之盔,Unique Item
Unique,吞灭之情,热战之盔,Unique Item
Unique,吉尔菲的荣光,强化巨盔,Unique Item
Unique,光明偷猎者,强化巨盔,Unique Item
Unique,禁断的军帽,强化巨盔,Unique Item
Unique,深海魔角,行政者战冠,Unique Item
Unique,饮魂者面罩,行政者战冠,Unique Item
Unique,缝合恶魔面罩,行政者战冠,Unique Item
Unique,暴君王冠,行政者战冠,Unique Item
Unique,裁决面罩,行政者战冠,Unique Item
Unique,缺角帝冠,箴言战冠,Unique Item
Unique,海王冠冕,箴言战冠,Unique Item
Unique,众生指引,箴言战冠,Unique Item
Unique,内省之冠,箴言战冠,Unique Item
Unique,福尔的远见,领主战冠,Unique Item
Unique,玛拉凯的远见,领主战冠,Unique Item
Unique,汉恩的蔑视,领主战冠,Unique Item
Unique,记忆囚笼,领主战冠,Unique Item
Unique,维里迪的面纱,领主战冠,Unique Item
Unique,孤绝避难所,圣骑士头冠,Unique Item
Unique,夜幕召唤,疫灾之面,Unique Item
Unique,玛拉凯的祭具,铁锻之面,Unique Item
Unique,共鸣之面,节庆之面,Unique Item
Unique,共鸣之面【仿品】,节庆之面,Unique Item
Unique,三龙战纪,黄金之面,Unique Item
Unique,意志交锋,黄金之面,Unique Item
Unique,鸥喙,祸鸦之面,Unique Item
Unique,风暴拘束,无情之面,Unique Item
Unique,怨恨之眼,无情之面,Unique Item
Unique,风雪释放,无情之面,Unique Item
Unique,殒皇之冠,弑君之面,Unique Item
Unique,葛尔贡的凝视,弑君之面,Unique Item
Unique,阿寇亚之凝视,弑君之面,Unique Item
Unique,智者之秘,鹰喙之面,Unique Item
Unique,大地之牙,鹰喙之面,Unique Item
Unique,谜容,瓦尔之面,Unique Item
Unique,分形思维,瓦尔之面,Unique Item
Unique,混沌一瞥,瓦尔之面,Unique Item
Unique,异教面纱,弑神之面,Unique Item
Unique,害人之口,唤骨头盔,Unique Item
Unique,上古之颅,唤骨头盔,Unique Item
Unique,信仰守卫,符文头盔,Unique Item
Unique,卡迪甘王冠,符文王冠,Unique Item
Unique,刺棘宝甲,铁制背心,Unique Item
Unique,烈阳铠,铜锻板甲,Unique Item
Unique,独断专行,决斗之铠,Unique Item
Unique,尤图拉之贪噬,庄严之铠,Unique Item
Unique,贪婪之拥,金耀之铠,Unique Item
Unique,深海魔甲,金耀之铠,Unique Item
Unique,狮眼的视线,征战重铠,Unique Item
Unique,钢铁要塞,征战重铠,Unique Item
Unique,冥使之体,星芒战铠,Unique Item
Unique,蹒跚巨兽,星芒战铠,Unique Item
Unique,巨铜之顶,角斗重铠,Unique Item
Unique,冈姆的壮志,荣耀战铠,Unique Item
Unique,背信弃义,荣耀战铠,Unique Item
Unique,冈姆的壮志【仿品】,荣耀战铠,Unique Item
Unique,拂烬,鹿皮外套,Unique Item
Unique,狐毛铠,狂野部族皮甲,Unique Item
Unique,荒途,日光皮甲,Unique Item
Unique,布隆的影衣,死神之装,Unique Item
Unique,疫鼠囚笼,鲨皮之衣,Unique Item
Unique,森林之后,命运皮甲,Unique Item
Unique,金珏之缮,精制皮甲,Unique Item
Unique,伊瑞的精通,精制皮甲,Unique Item
Unique,西里的战衣,星辰皮甲,Unique Item
Unique,雪盲恩惠,星辰皮甲,Unique Item
Unique,完美姿态,星辰皮甲,Unique Item
Unique,完美姿态【仿品】,星辰皮甲,Unique Item
Unique,西里的战衣【仿品】,星辰皮甲,Unique Item
Unique,卡斯普里意志,暗影之装,Unique Item
Unique,千缎,简易之袍,Unique Item
Unique,忠诚之肤,简易之袍,Unique Item
Unique,君主之肤,简易之袍,Unique Item
Unique,代笔人,绸缎背心,Unique Item
Unique,烈炎之袍,学者之袍,Unique Item
Unique,破弃信仰,秘术法衣,Unique Item
Unique,札德图斯的圣衣,贤者之袍,Unique Item
Unique,无悔之爱,贤者之袍,Unique Item
Unique,血誓,蛛丝之袍,Unique Item
Unique,祖灵之约,蛛丝之袍,Unique Item
Unique,血誓【仿品】,蛛丝之袍,Unique Item
Unique,灵魂甲胄,灭世法衣,Unique Item
Unique,塔温的披风,智者之袍,Unique Item
Unique,无常法袍,智者之袍,Unique Item
Unique,兀鸣,操灵者背心,Unique Item
Unique,塑血巨匠,操灵者背心,Unique Item
Unique,薛朗的护身长袍,秘术长衣,Unique Item
Unique,炼狱之心,毒蛛丝之袍,Unique Item
Unique,德瑞之肤,毒蛛丝之袍,Unique Item
Unique,暗夜弑衣,毒蛛丝之袍,Unique Item
Unique,兽毛披肩,瓦尔法衣,Unique Item
Unique,女王的饥饿,瓦尔法衣,Unique Item
Unique,欺诈獠牙,龙鳞战甲,Unique Item
Unique,兽腹,连身龙鳞战甲,Unique Item
Unique,雷语,荒野锁铠,Unique Item
Unique,德瑞索的卫衣,连身龙鳞铠,Unique Item
Unique,瑞佛狩猎,将军铠甲,Unique Item
Unique,薛鲁宾的恶作剧,胜利盔甲,Unique Item
Unique,大地之护,胜利盔甲,Unique Item
Unique,大地之护【仿品】,胜利盔甲,Unique Item
Unique,福尔的战铠,圣语锁甲,Unique Item
Unique,冰息,精制环甲,Unique Item
Unique,安姆布的战甲,圣战锁甲,Unique Item
Unique,安姆布的战甲【仿品】,圣战锁甲,Unique Item
Unique,魔道之衣,华丽环甲,Unique Item
Unique,第四誓言,虔诚链甲,Unique Item
Unique,皇家卫甲,征战锁甲,Unique Item
Unique,吉尔菲的圣殿,权贵环甲,Unique Item
Unique,满溢之甲,权贵环甲,Unique Item
Unique,满溢之甲【仿品】,权贵环甲,Unique Item
Unique,孢囊守卫,圣者链甲,Unique Item
Unique,象牙之塔,圣者链甲,Unique Item
Unique,多里亚尼的试作甲,圣者链甲,Unique Item
Unique,烈炎之心,圣洁锁甲,Unique Item
Unique,将军的复生,圣洁锁甲,Unique Item
Unique,七大教义,蜡封束衣,Unique Item
Unique,血脉相连,骨制战甲,Unique Item
Unique,卫道之袍,漆彩束衣,Unique Item
Unique,维多里奥之绝响,漆彩束衣,Unique Item
Unique,箭丽毒蛙,哨兵之衣,Unique Item
Unique,远征尽头,哨兵之衣,Unique Item
Unique,致命之体,映彩外套,Unique Item
Unique,海军上将,映彩外套,Unique Item
Unique,苍空之巢,血色之衣,Unique Item
Unique,永恒幽影,血色之衣,Unique Item
Unique,永恒幽影【仿品】,血色之衣,Unique Item
Unique,钟表匠的华服,狂虐者束衣,Unique Item
Unique,速度之力,狂虐者束衣,Unique Item
Unique,变形者外衣,狂虐者束衣,Unique Item
Unique,无尽之卫,禁礼之甲,Unique Item
Unique,泯光寿衣,禁礼之甲,Unique Item
Unique,泯光寿衣【仿品】,禁礼之甲,Unique Item
Unique,无尽之卫【仿品】,禁礼之甲,Unique Item
Unique,禁锢监狱,禁礼之甲,Unique Item
Unique,腐朽仆从,刑罚者束衣,Unique Item
Unique,阿兹里的威权,祭礼束衣,Unique Item
Unique,暗影缝合,祭礼束衣,Unique Item
Unique,风暴骑士,坚铁胫甲,Unique Item
Unique,恶风足迹,强化胫甲,Unique Item
Unique,火柳胫甲,古钢胫甲,Unique Item
Unique,红刃蹂躏靴,远古胫甲,Unique Item
